Name,WHO Region,Cases - cumulative total,,Cases - newly reported in last 7 days,,Cases - newly reported in last 24 hours,Deaths - cumulative total,,Deaths - newly reported in last 7 days,,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,133146550,,4228678,,693836,2888530,,72075,,12851,
United States of America,Americas,30615849,,451664,,74849,553801,,6857,,873,Community transmission
Brazil,Americas,13193205,,444458,,92625,340776,,19261,,3829,Community transmission
India,South-East Asia,13060542,,757411,,131968,167642,,4246,,780,Clusters of cases
France,Europe,4764318,,194620,,0,96666,,1604,,0,Community transmission
Russian Federation,Europe,4614834,,60570,,8672,101845,,2612,,365,Clusters of cases
The United Kingdom,Europe,4367295,,21503,,2762,126927,,214,,45,Community transmission
Italy,Europe,3700393,,115494,,13686,112374,,3028,,627,Clusters of cases
Turkey,Europe,3633925,,316743,,54740,32943,,1406,,276,Community transmission
Spain,Europe,3326736,,36860,,5309,76037,,240,,10,Community transmission
Germany,Europe,2930852,,97679,,20407,77707,,1164,,306,Community transmission
Poland,Europe,2499507,,142537,,27890,56659,,2994,,956,Community transmission
Colombia,Americas,2479617,,73240,,11381,64767,,1345,,243,Community transmission
Argentina,Americas,2450068,,101247,,22039,56832,,974,,198,Community transmission
Mexico,Americas,2261879,,22992,,5499,205598,,2388,,596,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1984348,,98784,,20954,63699,,1034,,193,Community transmission
Ukraine,Europe,1803998,,112261,,19419,35962,,2716,,464,Community transmission
Peru,Americas,1607898,,59091,,9305,53725,,1717,,314,Community transmission
Czechia,Europe,1567848,,28231,,7071,27466,,880,,137,Community transmission
South Africa,Africa,1554975,,5524,,1366,53173,,276,,62,Community transmission
Indonesia,South-East Asia,1552880,,35026,,5504,42227,,1173,,163,Community transmission
Netherlands,Europe,1319353,,46904,,6409,16672,,136,,23,Community transmission
Chile,Americas,1051270,,47864,,8248,23979,,651,,183,Community transmission
Canada,Americas,1028041,,45925,,7148,23173,,214,,32,Community transmission
Romania,Europe,988624,,35821,,5407,24561,,1023,,175,Community transmission
Belgium,Europe,908212,,17776,,1,23301,,262,,8,Community transmission
Iraq,Eastern Mediterranean,895622,,44698,,8331,14572,,249,,37,Community transmission
Sweden,Europe,841807,,36917,,6805,13578,,29,,0,Community transmission
Israel,Europe,835385,,2591,,652,6270,,73,,14,Community transmission
Philippines,Western Pacific,828366,,72179,,9216,14119,,816,,60,Community transmission
Portugal,Europe,825031,,3309,,663,16890,,42,,3,Clusters of cases
Pakistan,Eastern Mediterranean,700188,,32231,,4004,15026,,592,,102,Community transmission
Hungary,Europe,698490,,36769,,4814,22681,,1686,,272,Community transmission
Bangladesh,South-East Asia,666132,,48368,,6854,9521,,416,,74,Community transmission
Jordan,Eastern Mediterranean,650681,,39104,,5232,7469,,611,,86,Community transmission
Serbia,Europe,629388,,28792,,3615,5579,,271,,42,Community transmission
Switzerland,Europe,609783,,8620,,4,9718,,48,,1,Community transmission
Austria,Europe,562762,,20094,,3006,9296,,210,,46,Community transmission
Morocco,Eastern Mediterranean,499688,,3591,,663,8867,,49,,2,Clusters of cases
Japan,Western Pacific,496206,,18748,,3331,9334,,149,,33,Clusters of cases
Lebanon,Eastern Mediterranean,485918,,17518,,3120,6512,,278,,33,Community transmission
United Arab Emirates,Eastern Mediterranean,476019,,14575,,1883,1520,,23,,4,Clusters of cases
Saudi Arabia,Eastern Mediterranean,394952,,4945,,783,6719,,50,,8,Community transmission
Slovakia,Europe,368470,,5981,,1576,10322,,532,,79,Clusters of cases
Bulgaria,Europe,364419,,21786,,3556,14034,,837,,116,Clusters of cases
Panama,Americas,357277,,2226,,364,6148,,34,,2,Community transmission
Malaysia,Western Pacific,355753,,9075,,1285,1308,,30,,4,Clusters of cases
Ecuador,Americas,341619,,11231,,2015,17115,,238,,58,Community transmission
Belarus,Europe,330536,,8729,,1278,2314,,67,,10,Community transmission
Kazakhstan,Europe,312558,,12932,,0,3812,,116,,0,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,287835,,16957,,2672,3015,,134,,18,Community transmission
Georgia,Europe,286406,,4146,,761,3849,,64,,9,Community transmission
Croatia,Europe,285765,,11711,,3217,6185,,218,,36,Community transmission
Greece,Europe,285015,,21326,,3445,8607,,514,,75,Community transmission
Nepal,South-East Asia,279100,,1639,,332,3038,,7,,0,Clusters of cases
Bolivia (Plurinational State of),Americas,277966,,5555,,1076,12385,,128,,19,Community transmission
Azerbaijan,Europe,276464,,14751,,2595,3780,,213,,37,Clusters of cases
Tunisia,Eastern Mediterranean,264994,,10976,,1951,9087,,275,,48,Community transmission
Dominican Republic,Americas,256031,,2835,,1094,3378,,48,,9,Community transmission
Kuwait,Eastern Mediterranean,241469,,9366,,1517,1379,,66,,6,Community transmission
Ireland,Europe,239325,,3471,,418,4732,,45,,5,Community transmission
Republic of Moldova,Europe,237718,,7477,,1155,5268,,308,,44,Community transmission
Denmark,Europe,234931,,4328,,614,2435,,16,,3,Community transmission
Paraguay,Americas,227116,,12449,,2380,4584,,378,,62,Community transmission
Ethiopia,Africa,223665,,14704,,2121,3078,,191,,20,Community transmission
Lithuania,Europe,223127,,6122,,1107,3647,,64,,12,Community transmission
Slovenia,Europe,221889,,6267,,1189,4375,,29,,1,Clusters of cases
Costa Rica,Americas,219846,,2500,,0,3000,,35,,0,Community transmission
Egypt,Eastern Mediterranean,207293,,5162,,783,12290,,295,,37,Community transmission
Armenia,Europe,200129,,6393,,1231,3675,,142,,28,Community transmission
Guatemala,Americas,199964,,5566,,1590,6955,,115,,27,Community transmission
Honduras,Americas,193029,,3986,,616,4703,,98,,17,Community transmission
Qatar,Eastern Mediterranean,186201,,6237,,940,320,,29,,8,Community transmission
Bosnia and Herzegovina,Europe,179248,,9622,,1742,7132,,533,,80,Community transmission
Venezuela (Bolivarian Republic of),Americas,170189,,9692,,1115,1705,,103,,12,Community transmission
Oman,Eastern Mediterranean,166685,,7467,,1205,1735,,57,,7,Community transmission
Libya,Eastern Mediterranean,165287,,6330,,969,2772,,105,,7,Community transmission
Nigeria,Africa,163581,,584,,83,2058,,0,,0,Community transmission
Bahrain,Eastern Mediterranean,151931,,7486,,1120,547,,26,,2,Community transmission
Kenya,Africa,143063,,8021,,1698,2292,,125,,16,Community transmission
